V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,522000,109569615,6492,4514,444908,https://www.youtube.com/watch?v=PvNfqldUAmU,4423,3383,6391,https://www.youtube.com/watch?v=xIO-DgEXF0Q,49534,29496,444908,https://www.youtube.com/watch?v=PvNfqldUAmU,31792,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,455000,53367816,11432,3857,69721,https://www.youtube.com/watch?v=wpzPnSY00Pk,6696,3937,25661,https://www.youtube.com/watch?v=FqON_LuxC_k,13750,3857,69721,https://www.youtube.com/watch?v=wpzPnSY00Pk,112486,33134,13109,74408,https://www.twitch.tv/videos/2318715322
664e1b310cf343b78623f99b31e40fae,396000,59041698,1891,309,1891,https://www.youtube.com/watch?v=pntqzuxXvBI,0,0,0,,1891,309,1891,https://www.youtube.com/watch?v=pntqzuxXvBI,17226,0,0,0,
5535c9524eb046c38e172ebfa06b302f,362000,98273701,12631,4359,96614,https://www.youtube.com/watch?v=KKGNI5ZBSy0,19407,8457,96614,https://www.youtube.com/watch?v=KKGNI5ZBSy0,7850,1976,30646,https://www.youtube.com/watch?v=B7-WZK7Joow,71209,2017,863,7613,https://www.twitch.tv/videos/2329790837
4b6b055ada4d4f0ab63b7ad02a3fa3ef,227000,17435726,2741,952,4539,https://www.youtube.com/watch?v=jEfBwTw7FGw,2537,312,3220,https://www.youtube.com/watch?v=kYoOlgrEyjw,3278,1764,4539,https://www.youtube.com/watch?v=jEfBwTw7FGw,55710,960,193,3028,https://www.twitch.tv/videos/2326274512
897400f2658a483286ca6acc927006ca,223000,32915167,2310,883,12726,https://www.youtube.com/watch?v=uXyug1iZkUE,2334,1485,6226,https://www.youtube.com/watch?v=akECjdBqqWw,2287,671,12726,https://www.youtube.com/watch?v=uXyug1iZkUE,10026,0,0,0,
a9f6574e98f34b20a05269134930fb50,222000,8987269,5026,2109,11443,https://www.youtube.com/watch?v=F0_zPOzqR6g,5026,2109,11443,https://www.youtube.com/watch?v=F0_zPOzqR6g,0,0,0,,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,208000,46347480,11029,5611,56714,https://www.youtube.com/watch?v=rjmBnedZCWE,10843,6271,56714,https://www.youtube.com/watch?v=rjmBnedZCWE,12085,3886,24321,https://www.youtube.com/watch?v=wl3LI9h0FJg,52179,4539,2738,16326,https://www.twitch.tv/videos/2340572837
abd64c9a64e04fb1b23faa2480c1c106,199000,68701517,1572,887,168851,https://www.youtube.com/watch?v=BHueOE7cMDU,1304,525,4626,https://www.youtube.com/watch?v=WHc9wqHR8P0,31593,12185,168851,https://www.youtube.com/watch?v=BHueOE7cMDU,2044,0,0,0,
312fdd3c5e6d4aefa73fd3860ecc5613,185000,25578953,7273,4269,20188,https://www.youtube.com/watch?v=6Qvts6Gxt0w,7023,3790,20188,https://www.youtube.com/watch?v=6Qvts6Gxt0w,9707,4269,14414,https://www.youtube.com/watch?v=gLtpRVwkPKU,13534,0,0,0,
